Binary representation,Error,Features selected,Lookup value,Penalty factor
0001100000000000,0.9048333333333334,"(3, 4)",1.1548333333333334,0.125
0001010000000000,0.8543333333333334,"(3, 5)",1.1043333333333334,0.125
0001001000000000,0.8166666666666667,"(3, 6)",1.0666666666666667,0.125
0001000100000000,0.8298333333333333,"(3, 7)",1.0798333333333332,0.125
0001000010000000,0.8406666666666667,"(3, 8)",1.0906666666666667,0.125
0001000001000000,0.8573333333333333,"(3, 9)",1.1073333333333333,0.125
0001000000100000,0.81,"(3, 10)",1.06,0.125
0001000000010000,0.8295,"(3, 11)",1.0795,0.125
0001000000001000,0.8101666666666667,"(3, 12)",1.0601666666666667,0.125
0001000000000100,0.815,"(3, 13)",1.065,0.125
0001000000000010,0.8433333333333333,"(3, 14)",1.0933333333333333,0.125
0001000000000001,0.8703333333333333,"(3, 15)",1.1203333333333334,0.125
0000110000000000,0.8296666666666667,"(4, 5)",1.0796666666666668,0.125
0000101000000000,0.7966666666666666,"(4, 6)",1.0466666666666666,0.125
0000100100000000,0.8085,"(4, 7)",1.0585,0.125
0000100010000000,0.7983333333333333,"(4, 8)",1.0483333333333333,0.125
0000100001000000,0.8323333333333334,"(4, 9)",1.0823333333333334,0.125
0000100000100000,0.787,"(4, 10)",1.037,0.125
0000100000010000,0.8036666666666666,"(4, 11)",1.0536666666666665,0.125
0000100000001000,0.798,"(4, 12)",1.048,0.125
0000100000000100,0.7953333333333333,"(4, 13)",1.0453333333333332,0.125
0000100000000010,0.804,"(4, 14)",1.054,0.125
0000100000000001,0.8461666666666667,"(4, 15)",1.0961666666666667,0.125
0000011000000000,0.7321666666666666,"(5, 6)",0.9821666666666666,0.125
0000010100000000,0.7271666666666667,"(5, 7)",0.9771666666666667,0.125
0000010010000000,0.7493333333333334,"(5, 8)",0.9993333333333334,0.125
0000010001000000,0.7368333333333333,"(5, 9)",0.9868333333333333,0.125
0000010000100000,0.7071666666666667,"(5, 10)",0.9571666666666667,0.125
0000010000010000,0.7033333333333334,"(5, 11)",0.9533333333333334,0.125
0000010000001000,0.7088333333333333,"(5, 12)",0.9588333333333333,0.125
0000010000000100,0.741,"(5, 13)",0.991,0.125
0000010000000010,0.7341666666666666,"(5, 14)",0.9841666666666666,0.125
0000010000000001,0.7506666666666667,"(5, 15)",1.0006666666666666,0.125
0000001100000000,0.6831666666666667,"(6, 7)",0.9331666666666667,0.125
0000001010000000,0.6725,"(6, 8)",0.9225,0.125
0000001001000000,0.7065,"(6, 9)",0.9565,0.125
0000001000100000,0.6928333333333334,"(6, 10)",0.9428333333333334,0.125
0000001000010000,0.6583333333333333,"(6, 11)",0.9083333333333333,0.125
0000001000001000,0.6431666666666667,"(6, 12)",0.8931666666666667,0.125
0000001000000100,0.7078333333333333,"(6, 13)",0.9578333333333333,0.125
0000001000000010,0.6778333333333333,"(6, 14)",0.9278333333333333,0.125
0000001000000001,0.7323333333333333,"(6, 15)",0.9823333333333333,0.125
0000000110000000,0.6666666666666667,"(7, 8)",0.9166666666666667,0.125
0000000101000000,0.6868333333333334,"(7, 9)",0.9368333333333334,0.125
0000000100100000,0.6703333333333333,"(7, 10)",0.9203333333333333,0.125
0000000100010000,0.7035,"(7, 11)",0.9535,0.125
0000000100001000,0.69,"(7, 12)",0.94,0.125
0000000100000100,0.7061666666666666,"(7, 13)",0.9561666666666666,0.125
0000000100000010,0.6886666666666666,"(7, 14)",0.9386666666666666,0.125
0000000100000001,0.7616666666666667,"(7, 15)",1.0116666666666667,0.125
0000000011000000,0.7221666666666666,"(8, 9)",0.9721666666666666,0.125
0000000010100000,0.6715,"(8, 10)",0.9215,0.125
0000000010010000,0.7153333333333334,"(8, 11)",0.9653333333333334,0.125
0000000010001000,0.688,"(8, 12)",0.938,0.125
0000000010000100,0.6936666666666667,"(8, 13)",0.9436666666666667,0.125
0000000010000010,0.6699999999999999,"(8, 14)",0.9199999999999999,0.125
0000000010000001,0.7505,"(8, 15)",1.0005,0.125
0000000001100000,0.6765,"(9, 10)",0.9265,0.125
0000000001010000,0.7045,"(9, 11)",0.9545,0.125
0000000001001000,0.6985,"(9, 12)",0.9485,0.125
0000000001000100,0.7053333333333334,"(9, 13)",0.9553333333333334,0.125
0000000001000010,0.6948333333333334,"(9, 14)",0.9448333333333334,0.125
0000000001000001,0.7525,"(9, 15)",1.0025,0.125
0000000000110000,0.6561666666666667,"(10, 11)",0.9061666666666667,0.125
0000000000101000,0.6358333333333333,"(10, 12)",0.8858333333333333,0.125
0000000000100100,0.6856666666666666,"(10, 13)",0.9356666666666666,0.125
0000000000100010,0.6796666666666666,"(10, 14)",0.9296666666666666,0.125
0000000000100001,0.7208333333333333,"(10, 15)",0.9708333333333333,0.125
0000000000011000,0.6695,"(11, 12)",0.9195,0.125
0000000000010100,0.663,"(11, 13)",0.913,0.125
0000000000010010,0.6896666666666667,"(11, 14)",0.9396666666666667,0.125
0000000000010001,0.7364999999999999,"(11, 15)",0.9864999999999999,0.125
0000000000001100,0.6443333333333333,"(12, 13)",0.8943333333333333,0.125
0000000000001010,0.638,"(12, 14)",0.888,0.125
0000000000001001,0.7248333333333333,"(12, 15)",0.9748333333333333,0.125
0000000000000110,0.6791666666666667,"(13, 14)",0.9291666666666667,0.125
0000000000000101,0.7386666666666667,"(13, 15)",0.9886666666666667,0.125
0000000000000011,0.7611666666666667,"(14, 15)",1.0111666666666665,0.125
1110000000000000,0.8671666666666666,"(0, 1, 2)",1.2421666666666666,0.125
1101000000000000,0.8845,"(0, 1, 3)",1.2595,0.125
1100100000000000,0.868,"(0, 1, 4)",1.2429999999999999,0.125
1100010000000000,0.8196666666666667,"(0, 1, 5)",1.1946666666666665,0.125
1100001000000000,0.7878333333333334,"(0, 1, 6)",1.1628333333333334,0.125
1100000100000000,0.7883333333333333,"(0, 1, 7)",1.1633333333333333,0.125
1100000010000000,0.7778333333333334,"(0, 1, 8)",1.1528333333333334,0.125
1100000001000000,0.7976666666666666,"(0, 1, 9)",1.1726666666666667,0.125
1100000000100000,0.7715,"(0, 1, 10)",1.1465,0.125
1100000000010000,0.7805,"(0, 1, 11)",1.1555,0.125
1100000000001000,0.785,"(0, 1, 12)",1.1600000000000001,0.125
1100000000000100,0.7713333333333333,"(0, 1, 13)",1.1463333333333332,0.125
1100000000000010,0.7825,"(0, 1, 14)",1.1575,0.125
1100000000000001,0.8375,"(0, 1, 15)",1.2125,0.125
1011000000000000,0.8573333333333333,"(0, 2, 3)",1.2323333333333333,0.125
1010100000000000,0.8446666666666667,"(0, 2, 4)",1.2196666666666667,0.125
1010010000000000,0.8021666666666667,"(0, 2, 5)",1.1771666666666667,0.125
1010001000000000,0.7635000000000001,"(0, 2, 6)",1.1385,0.125
1010000100000000,0.7481666666666666,"(0, 2, 7)",1.1231666666666666,0.125
1010000010000000,0.7261666666666666,"(0, 2, 8)",1.1011666666666666,0.125
1010000001000000,0.7555000000000001,"(0, 2, 9)",1.1305,0.125
1010000000100000,0.738,"(0, 2, 10)",1.113,0.125
1010000000010000,0.7498333333333334,"(0, 2, 11)",1.1248333333333334,0.125
1010000000001000,0.741,"(0, 2, 12)",1.116,0.125
1010000000000100,0.7506666666666667,"(0, 2, 13)",1.1256666666666666,0.125
1010000000000010,0.7371666666666667,"(0, 2, 14)",1.1121666666666667,0.125
1010000000000001,0.7996666666666666,"(0, 2, 15)",1.1746666666666665,0.125
1001100000000000,0.8643333333333334,"(0, 3, 4)",1.2393333333333334,0.125
1001010000000000,0.8126666666666666,"(0, 3, 5)",1.1876666666666666,0.125
1001001000000000,0.7771666666666667,"(0, 3, 6)",1.1521666666666666,0.125
1001000100000000,0.7718333333333334,"(0, 3, 7)",1.1468333333333334,0.125
1001000010000000,0.7751666666666667,"(0, 3, 8)",1.1501666666666668,0.125
1001000001000000,0.7963333333333333,"(0, 3, 9)",1.1713333333333333,0.125
1001000000100000,0.7598333333333334,"(0, 3, 10)",1.1348333333333334,0.125
1001000000010000,0.7768333333333333,"(0, 3, 11)",1.1518333333333333,0.125
1001000000001000,0.7723333333333333,"(0, 3, 12)",1.1473333333333333,0.125
1001000000000100,0.7715,"(0, 3, 13)",1.1465,0.125
1001000000000010,0.782,"(0, 3, 14)",1.157,0.125
